possibleOriginalPartnumber;productcode;productname;productprice;addtocartbtn_replacement_text;productdescriptionshort;stockstatus;productweight;category;subCategory;url
6828763, 6828763, 6828763;6828763;6828763;53.290;;BOLT: HEX HD,ST,;59;0.5;Hardware, Aircraft Parts;, , BOLT;https://shop.boeing.com/aviation-supply/p/6828763=T5
6828952, 6828952;6828952;6828952;44.460;;SPACER: UPR MOUNT BRACK,;0;0.5;Aircraft Parts;, SPACER;https://shop.boeing.com/aviation-supply/p/6828952=T5
6828978, 6828978;6828978;6828978;8101.120;;GEAR: SPUR,TACH DRIVE,TAKE-OFF,;0;0.5;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6828978=T5
6829061, 6829061;6829061;6829061;86.100;;WASHER: CUP,ST,;402;0.03;Aircraft Parts;, WASHER;https://shop.boeing.com/aviation-supply/p/6829061=T5
6829388, 6829388;6829388;6829388;7393.680;;GEAR: SPUR,NOSE SCAV PUMP,;11;0.26;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6829388=T5
6829392, 6829392;6829392;6829392;9445.800;;GEAR: SPUR - HYD PUMP IDLER DR,;8;0.5;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6829392=T5
6829393, 6829393;6829393;6829393;16065.000;;GEAR: SPUR,ST,;0;2.77;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6829393=T5
6829394, 6829394;6829394;6829394;28665.000;;GEAR: SPUR,ST,;0;1.3;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6829394=T5
6829398, 6829398;6829398;6829398;14325.130;;GEAR: SPUR SCAV PUMP DRIVE,;11;1;Aircraft Parts;ENGINES, GEAR;https://shop.boeing.com/aviation-supply/p/6829398=T5
6829451, 6829451;6829451;6829451;23415.000;;Rolls-Royce® Prop. Brake Outer Member 682945;0;4.36;Aircraft Parts;ENGINES, MEMBER;https://shop.boeing.com/aviation-supply/p/6829451=T5
6829556, 6829556;6829556;6829556;563.650;;Rolls-Royce® Igniter Ferrule Mount 682955;348;0.11;Aircraft Parts;, MOUNT;https://shop.boeing.com/aviation-supply/p/6829556=T5
6829641, 6829641, 6829641;6829641;6829641;133.530;;NUT: SPANNER,SPECIAL LOCK FLANGE,;87;0.5;Aircraft Parts, Misc;"ENGINES, NUT: SPANNER;SPECIAL LOCK FLAN, NUT";https://shop.boeing.com/aviation-supply/p/6829641=64
6829919, 6829919, 6829919;6829919;6829919;75.300;;BOLT: HEX HD,ST, EXT RELIEVED BODY;9;0.62;Hardware, Aircraft Parts;, , BOLT;https://shop.boeing.com/aviation-supply/p/6829919=T5
6829920, 6829920;6829920;6829920;110.500;;WASHER: FLT,GLASS,;158;0.5;Aircraft Parts;, WASHER;https://shop.boeing.com/aviation-supply/p/6829920=T5
6840004, 6840004;6840004;6840004;765.220;;TERMINAL: T/C HARNESS ASSEMBLY,;105;0.36;Aircraft Parts;, TERMINAL;https://shop.boeing.com/aviation-supply/p/6840004=T5
6840109, 6840109, 6840109;6840109;6840109;8.650;;RETAINER: BEARING,FUEL CONTROL,;22;0.5;Aircraft Parts, Misc;"ENGINES, RETAINER: BEARING;FUEL CONTROL, RETAINER";https://shop.boeing.com/aviation-supply/p/6840109=R4
6840117, 6840117, 6840117;6840117;6840117;95.560;;TUBE: OIL TRANSFER,HOUSING,;3;0.5;Aircraft Parts, Misc;"ENGINES, FITTING, TUBE: OIL TRANSFER;HOUSING;";https://shop.boeing.com/aviation-supply/p/6840117=R4
6840136, 6840136, 6840136;6840136;6840136;77.990;;SCREEN: OIL PRESSURE,ASSEMBLY,;0;0.5;Aircraft Parts, Misc;"ENGINES, SCREEN, SCREEN: OIL PRESSURE;ASSEMBLY;";https://shop.boeing.com/aviation-supply/p/6840136=64
6840323, 6840323, 6840323;6840323;6840323;678.690;;VALVE: BURNER DRAIN,ASSEMBLY,;1;0.5;Aircraft Parts, Misc;"ENGINES, VALVE, VALVE: BURNER DRAIN;ASSEMBLY;";https://shop.boeing.com/aviation-supply/p/6840323=64
6840406, 6840406, 6840406;6840406;6840406;201.630;;Rolls-Royce® Spanner Turbine Tie Bolt Nut 684040;194;0.5;Aircraft Parts, Misc;"ENGINES, NUT, NUT: SPANNER;TURBINE TIE BOLT;";https://shop.boeing.com/aviation-supply/p/6840406=64
6840407, 6840407, 6840407;6840407;6840407;74.040;;NUT: SPANNER,TURBINE TIE BOLT,;96;0.5;Aircraft Parts, Misc;"ENGINES, NUT, NUT: SPANNER;TURBINE TIE BOLT;";https://shop.boeing.com/aviation-supply/p/6840407=64
6840420, 6840420, 6840420, 6840420;6840420;6840420;94.870;;SCREW: FIL HD,SHLDR,CRES,;9;0.5;Aircraft Parts, Hardware, Misc;"ENGINES, SCREW, , SCREW: FIL HD;SHLDR;CRES;";https://shop.boeing.com/aviation-supply/p/6840420=R4
6840476, 6840476, 6840476;6840476;6840476;63.460;;SCREEN: OIL FILTER,ASSEMBLY,;1;0.5;Aircraft Parts, Misc;"ENGINES, SCREEN, SCREEN: OIL FILTER;ASSEMBLY;";https://shop.boeing.com/aviation-supply/p/6840476=R4
6840861, 6840861;6840861;6840861;8340.770;;GEAR: SPUR HYD PUMP IDLER, 600 SERIES;44;0.414;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6840861=T5
6840862, 6840862;6840862;6840862;10781.250;;GEAR: SPUR,HYD PUMP DRIVE,;7;2.52;Aircraft Parts;ENGINES, GEAR;https://shop.boeing.com/aviation-supply/p/6840862=T5
6841048, 6841048;6841048;6841048;42.710;;RING: INT RETAINING,;40;0.02;Aircraft Parts;, RING;https://shop.boeing.com/aviation-supply/p/6841048=T5
6841163, 6841163;6841163;6841163;219.700;;SLEEVE: 1.578X1.852X.875 W,;30;0.5;Aircraft Parts;, SLEEVE;https://shop.boeing.com/aviation-supply/p/6841163=T5
6841207, 6841207;6841207;6841207;35504.000;;GEAR: INT,;12;26.5;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6841207=T5
6841222, 6841222;6841222;6841222;14713.420;;GEAR: SUN,;17;6.41;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6841222=T5
6841228, 6841228;6841228;6841228;33398.800;;Rolls-Royce® Shaftgear Pinion Assembly 684122;11;15.2;Aircraft Parts;, SHAFTGEAR;https://shop.boeing.com/aviation-supply/p/6841228=T5
6841232, 6841232;6841232;6841232;136.320;;SPRING: HEL COMP .380ODX1.313L,;31;0.02;Aircraft Parts;, SPRING;https://shop.boeing.com/aviation-supply/p/6841232=T5
6841239, 6841239;6841239;6841239;299.250;;KEY: FRT BEARING,COMPRESSOR,;22;0.02;Aircraft Parts;, KEY;https://shop.boeing.com/aviation-supply/p/6841239=T5
6841271, 6841271;6841271;6841271;2515.200;;SHAFT: DRIVE-OIL PUMP,;2;0.16;Aircraft Parts;, SHAFT;https://shop.boeing.com/aviation-supply/p/6841271=T5
6841453, 6841453;6841453;6841453;1106.000;;ADAPTER: OIL TUBE,;0;0.37;Aircraft Parts;, ADAPTER;https://shop.boeing.com/aviation-supply/p/6841453=T5
6841676, 6841676, 6841676;6841676;6841676;49.550;;GASKET: METALLIC,U-RING 1.4,;423;0.5;Aircraft Parts, Misc;"ENGINES, GASKET, GASKET: METALLIC;U-RING 1.4;";https://shop.boeing.com/aviation-supply/p/6841676=64
6841759, 6841759;6841759;6841759;83.580;;CLIP:,;72;0.02;Aircraft Parts;ENGINES, CLIP;https://shop.boeing.com/aviation-supply/p/6841759=T5
6841791, 6841791;6841791;6841791;191.310;;KIT: REP,FILTER,FUEL, 600 SERIES;0;0.24;Aircraft Parts;, KIT;https://shop.boeing.com/aviation-supply/p/6841791=T5
6842094, 6842094, 6842094;6842094;6842094;815.140;;COUPLING, SHAFT-FLEXIBLE,F/CNT,;5;0.5;Aircraft Parts, Misc;"ENGINES, COUPLING, SHAFT-FLEXIBLE,F/CNT,, COUPLING; SHAFT-FLEXIBLE;F/CNT";https://shop.boeing.com/aviation-supply/p/6842094=64
6842119, 6842119;6842119;6842119;8213.470;;MEMBER: SAFETY COUPLING,INTER,;18;0.876;Aircraft Parts;, MEMBER;https://shop.boeing.com/aviation-supply/p/6842119=T5
6842120, 6842120;6842120;6842120;6327.130;;MEMBER: SAFETY COUPLING,INNER,;32;1.08;Aircraft Parts;, MEMBER;https://shop.boeing.com/aviation-supply/p/6842120=T5
6842139, 6842139;6842139;6842139;1312.000;;TUBE: DIFF TO SCAV PUMP L,;16;0.49;Aircraft Parts;, TUBE;https://shop.boeing.com/aviation-supply/p/6842139=T5
6842311, 6842311;6842311;6842311;14.600;;BUSHING: ECCENTRIC,AL,;544;0.01;Aircraft Parts;, BUSHING;https://shop.boeing.com/aviation-supply/p/6842311=T5
6842597, 6842597;6842597;6842597;98.700;;BRACKET: T/C HARNESS,;21;0.037;Aircraft Parts;, BRACKET;https://shop.boeing.com/aviation-supply/p/6842597=T5
6842633, 6842633;6842633;6842633;1596.000;;SPACER: TURBINE COUPL SHAFT,;0;0.43;Aircraft Parts;, SPACER;https://shop.boeing.com/aviation-supply/p/6842633=T5
6842796, 6842796, 6842796;6842796;6842796;156.010;;NUT: RND HD,PLAIN,ST, .750-16X.505;174;0.08;Aircraft Parts, Hardware;, NUT, ;https://shop.boeing.com/aviation-supply/p/6842796=T5
6842824, 6842824;6842824;6842824;214.180;;BAFFLE: OIL,DRIVE SHAFT,ACCESSORY,;11;0.05;Aircraft Parts;, BAFFLE;https://shop.boeing.com/aviation-supply/p/6842824=T5
6842838, 6842838;6842838;6842838;84.000;;BRACKET: SCAVENGE OIL TUBE,;13;0.5;Aircraft Parts;, BRACKET;https://shop.boeing.com/aviation-supply/p/6842838=T5
6842844, 6842844;6842844;6842844;1578.410;;VALVE: OIL PRESS. RELIEF,;0;0.21;Aircraft Parts;, VALVE;https://shop.boeing.com/aviation-supply/p/6842844=T5
6843160, 6843160;6843160;6843160;8211.000;;INDICATOR: PRESSURE,DIFFERENTIAL,;0;0.46;Aircraft Parts;, INDICATOR;https://shop.boeing.com/aviation-supply/p/6843160=T5
6843173, 6843173;6843173;6843173;181.650;;SEAL: VALVE,SPEED SENSITIVE,;0;0.06;Aircraft Parts;, SEAL;https://shop.boeing.com/aviation-supply/p/6843173=T5
6843209, 6843209;6843209;6843209;4630.100;;RESISTOR: VARIABLE,LINEAR,;0;0.54;Aircraft Parts;, RESISTOR;https://shop.boeing.com/aviation-supply/p/6843209=T5
6843226, 6843226;6843226;6843226;117.510;;WASHER: NONMETALLIC,;8;0.012;Aircraft Parts;, WASHER;https://shop.boeing.com/aviation-supply/p/6843226=T5
6843227, 6843227;6843227;6843227;519.750;;GASKET: SILASTIC&FIBERGLASS,;4;0.056;Aircraft Parts;, GASKET;https://shop.boeing.com/aviation-supply/p/6843227=T5
6843268, 6843268;6843268;6843268;9099.320;;Rolls-Royce® Bevel Shaftgear - Turbine SCA 684326;0;0.4;Aircraft Parts;, SHAFTGEAR;https://shop.boeing.com/aviation-supply/p/6843268=T5
6843344, 6843344;6843344;6843344;110.400;;COUPLING: CLAMP,GROOVED,ST,;104;0.24;Aircraft Parts;, COUPLING;https://shop.boeing.com/aviation-supply/p/6843344=T5
6843526, 6843526;6843526;6843526;131.250;;BUSHING: NTS ACTUATOR ROD, REDUCTION GEAR ASSEMBLY;68;0.04;Aircraft Parts;, BUSHING;https://shop.boeing.com/aviation-supply/p/6843526=T5
6843609, 6843609, 6843609;6843609;6843609;39.140;;WASHER:,;79;0.5;Aircraft Parts, Misc;"ENGINES, WASHER, WASHER:;";https://shop.boeing.com/aviation-supply/p/6843609=64
6843610, 6843610, 6843610;6843610;6843610;27.830;;ORING:,;245;0.5;Aircraft Parts, Misc;"ENGINES, ORING, ORING:;";https://shop.boeing.com/aviation-supply/p/6843610=64
6843949, 6843949;6843949;6843949;232.050;;SUPPORT: LINER, 2 PC IGNITER,;38;0.3;Aircraft Parts;, SUPPORT;https://shop.boeing.com/aviation-supply/p/6843949=T5
6844003, 6844003, 6844003;6844003;6844003;68.460;;RING, SEAL SUPPORT FIREWA,;27;0.5;Aircraft Parts, Misc;"ENGINES, RING, SEAL SUPPORT FIREWA,, RING; SEAL SUPPORT FIREWA;";https://shop.boeing.com/aviation-supply/p/6844003=64
6844007, 6844007, 6844007;6844007;6844007;93.880;;GEARSHAFT: OIL PUMP,;0;0.5;Aircraft Parts, Misc;"ENGINES, GEARSHAFT, GEARSHAFT: OIL PUMP;";https://shop.boeing.com/aviation-supply/p/6844007=64
6844056, 6844056;6844056;6844056;1585.500;;SEAL: OUTER,COMPRESS. FRT, BEARING ASSEMBLY;12;0.55;Aircraft Parts;, SEAL;https://shop.boeing.com/aviation-supply/p/6844056=T5
6844140, 6844140;6844140;6844140;798.000;;Rolls-Royce® Curvic Seal ST 684414;225;0.15;Aircraft Parts;, SEAL;https://shop.boeing.com/aviation-supply/p/6844140=T5
6844169, 6844169, 6844169;6844169;6844169;236.410;;TUBE: FUEL CONTROL TO FIRESHIE,;28;0.5;Aircraft Parts, Misc;ENGINES, TUBE, TUBE: FUEL CONTROL TO FIRESHIE;https://shop.boeing.com/aviation-supply/p/6844169=64
6844316, 6844316, 6844316;6844316;6844316;54.880;;BRACKET: ANGLE,90DEG,;0;0.5;Aircraft Parts, Misc;", BRACKET, BRACKET: ANGLE;90DEG;";https://www.airpartsco.com/airparts_homepage/lara_page.php?lara&result=6844316&op=part&po=null&page=1
6844317, 6844317, 6844317;6844317;6844317;21.950;;BRACKET: 90DEG,ST,;102;0.5;Aircraft Parts, Misc;"ENGINES, BRACKET, BRACKET: 90DEG;ST;";https://shop.boeing.com/aviation-supply/p/6844317=64
6844318, 6844318;6844318;6844318;26.430;;PIN:,;39;0.01;Aircraft Parts;, PIN;https://shop.boeing.com/aviation-supply/p/6844318=T5
6844326, 6844326, 6844326;6844326;6844326;29.620;;NUT: HEX HD,PLAIN,.500-20,;3;0.5;Aircraft Parts, Misc;"ENGINES, NUT, NUT: HEX HD;PLAIN;.500-20;";https://shop.boeing.com/aviation-supply/p/6844326=64
6844361, 6844361;6844361;6844361;4083.990;;Rolls-Royce® Flyweight Speed Carrier 684436;10;0.312;Aircraft Parts;, CARRIER;https://shop.boeing.com/aviation-supply/p/6844361=T5
6844422, 6844422, 6844422;6844422;6844422;67.370;;Rolls-Royce® Turbine Segment Damper Bearing 684442;1717;0.5;Aircraft Parts, Misc;"ENGINES, DAMPER, DAMPER: BEARING;TURBINE SEGMEN";https://shop.boeing.com/aviation-supply/p/6844422=64
6844608, 6844608;6844608;6844608;382.780;;SLEEVE: VENT TUBE SEALING,;13;0.14;Aircraft Parts;, SLEEVE;https://shop.boeing.com/aviation-supply/p/6844608=T5
6844614, 6844614;6844614;6844614;1848.000;;SEAL: LABYRINTH,FRT,CRES,;96;0.8;Aircraft Parts;, SEAL;https://shop.boeing.com/aviation-supply/p/6844614=T5
6844615, 6844615;6844615;6844615;274.050;;WEIGHT: COUNTERBALANCE,;294;0.336;Aircraft Parts;, WEIGHT;https://shop.boeing.com/aviation-supply/p/6844615=T5
6844619, 6844619;6844619;6844619;3471.710;;RETAINER: VANE,CRES, STG2;41;0.19;Aircraft Parts;, RETAINER;https://shop.boeing.com/aviation-supply/p/6844619=T5
6844627, 6844627;6844627;6844627;1297.200;;RING: AIR SEAL - STG 1 VAN,;21;3.06;Aircraft Parts;, RING;https://shop.boeing.com/aviation-supply/p/6844627=T5
6844648, 6844648;6844648;6844648;426.750;;PIN: ANTI-ROTATION,;0;0.03;Aircraft Parts;, PIN;https://shop.boeing.com/aviation-supply/p/6844648=T5
6844649, 6844649;6844649;6844649;1955.440;;Rolls-Royce® Front Turbine Bearing Damper VI 684464;108;0.302;Aircraft Parts;, DAMPER;https://shop.boeing.com/aviation-supply/p/6844649=T5
6844716, 6844716;6844716;6844716;40.470;;GASKET: METAL ORING 6.990 OD,;0;0.05;Aircraft Parts;, GASKET;https://shop.boeing.com/aviation-supply/p/6844716=T5
6844778, 6844778;6844778;6844778;38524.580;;BOLT: TURBINE TO COMPRESSOR,;2;7.475;Aircraft Parts;, BOLT;https://shop.boeing.com/aviation-supply/p/6844778=T5
6844785, 6844785;6844785;6844785;3322.800;;TUBE: REAR,TURBINE OIL,ST,;28;1.08;Aircraft Parts;, TUBE;https://shop.boeing.com/aviation-supply/p/6844785=T5
6844786, 6844786;6844786;6844786;1463.020;;TUBE: REAR TURBINE BEARING OI,;42;1.025;Aircraft Parts;ENGINES, TUBE;https://shop.boeing.com/aviation-supply/p/6844786=T5
6844794, 6844794;6844794;6844794;0;Please send RFQ to sales@145.aero for lead time;SPACER: TURBINE 3RD TO 4TH S,;0;8.346;Aircraft Parts;ENGINES, SPACER;https://shop.boeing.com/aviation-supply/p/6844794=T5
6844819, 6844819;6844819;6844819;250.950;;WASHER: KEY,ST,;76;0.5;Aircraft Parts;, WASHER;https://shop.boeing.com/aviation-supply/p/6844819=T5
6845277, 6845277;6845277;6845277;1733.570;;SEAL: LABY ROTOR INNER,;22;0.25;Aircraft Parts;, SEAL;https://shop.boeing.com/aviation-supply/p/6845277=T5
6845301, 6845301;6845301;6845301;135.450;;BRACKET: T/C HARNESS,;0;0.025;Aircraft Parts;, BRACKET;https://shop.boeing.com/aviation-supply/p/6845301=T5
6845945, 6845945;6845945;6845945;26681.950;;Rolls-Royce® T56 Compressor Wheel Bolt 684594;0;3.338;Aircraft Parts;, BOLT;https://shop.boeing.com/aviation-supply/p/6845945=T5
6846052, 6846052;6846052;6846052;231.530;;COVER PLATE: SEAL,STG 2,;300;0.04;Aircraft Parts;, COVER PLATE;https://shop.boeing.com/aviation-supply/p/6846052=T5
6846053, 6846053;6846053;6846053;190.130;;PLATE: COVER,SEAL,STG 3,ST,;47;0.035;Aircraft Parts;, PLATE;https://shop.boeing.com/aviation-supply/p/6846053=T5
6846062, 6846062;6846062;6846062;189.000;;PLATE: COVER,SEAL,STG 2,ST,;72;0.04;Aircraft Parts;, PLATE;https://shop.boeing.com/aviation-supply/p/6846062=T5
6846063, 6846063;6846063;6846063;186.210;;PLATE: COVER,SEAL STG 3 5,;71;0.04;Aircraft Parts;, PLATE;https://shop.boeing.com/aviation-supply/p/6846063=T5
6846213, 6846213;6846213;6846213;315.000;;FITTING: VENT,FLANGE,ST,;50;0.24;Aircraft Parts;, FITTING;https://shop.boeing.com/aviation-supply/p/6846213=T5
6846221, 6846221;6846221;6846221;1243.000;;TUBE: OIL - TURBINE FRT SCAV,;18;0.38;Aircraft Parts;, TUBE;https://shop.boeing.com/aviation-supply/p/6846221=T5
6846311, 6846311;6846311;6846311;163.800;;PLATE: COVER,SEAL,STG 1,ST,;83;0.019;Aircraft Parts;, PLATE;https://shop.boeing.com/aviation-supply/p/6846311=T5
6846359, 6846359;6846359;6846359;146.480;;SEAL: ACC HSG ASSEMBLY,;77;0.5;Aircraft Parts;, SEAL;https://shop.boeing.com/aviation-supply/p/6846359=T5
6846363, 6846363;6846363;6846363;22575.530;;GEAR: SPUR,MAIN IDLER,;0;3.65;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6846363=T5
6846364, 6846364;6846364;6846364;110.780;;SPRING: BY-PASS VALVE,ST,;51;0.018;Aircraft Parts;, SPRING;https://shop.boeing.com/aviation-supply/p/6846364=T5
6846473, 6846473;6846473;6846473;144.900;;NUT: HEX HD,PLAIN,ST, .375-32 UNEF/SPL;120;0.05;Aircraft Parts;, NUT;https://shop.boeing.com/aviation-supply/p/6846473=T5
6846518, 6846518;6846518;6846518;303.030;;FERRULE - FUEL NOZZLE,;0;0.15;Aircraft Parts;, FERRULE - FUEL NOZZLE,;https://shop.boeing.com/aviation-supply/p/6846518=T5
6846568, 6846568;6846568;6846568;11178.000;;BODY: OIL PUMP - SCAV EXT,;2;2.21;Aircraft Parts;BODY, ;https://shop.boeing.com/aviation-supply/p/6846568=T5
6846603, 6846603, 6846603;6846603;6846603;429.450;;NUT: GANG CHANNEL .250-28,;3;0.18;NUT ASSEMBLY,SELF-LOCKING,GANG CHANNEL, Aircraft Parts;NUT ASSEMBLY,SELF-LOCKING,GANG CHANNEL, NUT, ENGINES;https://shop.boeing.com/aviation-supply/p/6846603=T5
6846604, 6846604;6846604;6846604;476.700;;NUT: GANG CHANNEL .250-28, STEEL,;0;0.13;Aircraft Parts;NUT, ;https://shop.boeing.com/aviation-supply/p/6846604=T5
6846613, 6846613;6846613;6846613;201.300;;RING: RETAINING,INT,ST,;0;0.06;Aircraft Parts;RING, ;https://shop.boeing.com/aviation-supply/p/6846613=T5
6846747, 6846747;6846747;6846747;1543.920;;SHAFT: DRIVE,TACHOMETER,;23;0.206;Aircraft Parts;SHAFT, ;https://shop.boeing.com/aviation-supply/p/6846747=T5
6846764, 6846764;6846764;6846764;0;Please send RFQ to sales@145.aero for lead time;BAFFLE: FRT,DIFFUSER,;0;1.4;Aircraft Parts;BAFFLE, ;https://shop.boeing.com/aviation-supply/p/6846764=T5
6846903, 6846903;6846903;6846903;126.000;;BRACKET: OIL TUBE,VANE,ST,;71;0.05;Aircraft Parts;BRACKET, ;https://shop.boeing.com/aviation-supply/p/6846903=T5
6846904, 6846904;6846904;6846904;84.960;;BRACKET: OIL TUBE,OUTER,CRES,;25;0.04;Aircraft Parts;BRACKET, ;https://shop.boeing.com/aviation-supply/p/6846904=T5
6846907, 6846907;6846907;6846907;115729.240;;SHAFT: TURBINE COUPLING ASSEMB,;0;11.581;Aircraft Parts;SHAFT, ENGINES;https://shop.boeing.com/aviation-supply/p/6846907=T5
6846933, 6846933;6846933;6846933;511.420;;BLANKET: INSULATION,THERMAL,;17;0.99;Aircraft Parts;BLANKET, ;https://shop.boeing.com/aviation-supply/p/6846933=T5
6846935, 6846935;6846935;6846935;18805.060;;CAGE: BEARING,FRT TURBINE,;2;3.43;Aircraft Parts;CAGE, ;https://shop.boeing.com/aviation-supply/p/6846935=T5
6846939, 6846939;6846939;6846939;298.170;;SPACER: TURBINE WHEEL TO TIE B,;42;0.2;Aircraft Parts;SPACER, ;https://shop.boeing.com/aviation-supply/p/6846939=T5
6846995, 6846995;6846995;6846995;10781.770;;VANE SEGMENT: TURBINE 4TH ST,;42;3.828;Aircraft Parts;VANE SEGMENT, ;https://shop.boeing.com/aviation-supply/p/6846995=T5
6847245, 6847245;6847245;6847245;169.050;;BUSHING: SLEEVE,CU, .415DX.5640;63;0.04;Aircraft Parts;BUSHING, ;https://shop.boeing.com/aviation-supply/p/6847245=T5
6847305, 6847305;6847305;6847305;5157.530;;VENT: ENGINE ASSEMBLY,;19;3.772;Aircraft Parts;VENT, ENGINES;https://shop.boeing.com/aviation-supply/p/6847305=T5
6847330, 6847330;6847330;6847330;2215.500;;SEAL: LABYRINTH,TURBINE,FRT,;28;0.4;Aircraft Parts;SEAL, ;https://shop.boeing.com/aviation-supply/p/6847330=T5
6847331, 6847331;6847331;6847331;788.400;;ROD: TURBINE,ROTOR,;143;0.5;Aircraft Parts;ROD, ;https://shop.boeing.com/aviation-supply/p/6847331=T5
6847349, 6847349;6847349;6847349;134644.310;;CASING: TURBINE INLET,ASSEMBLY,;0;47.3;Aircraft Parts;CASING, ENGINES;https://shop.boeing.com/aviation-supply/p/6847349=T5
6847718, 6847718;6847718;6847718;19565.280;;CABLE: SPL PURPOSE,ELECTRIC,;0;1.42;Aircraft Parts;, CABLE;https://shop.boeing.com/aviation-supply/p/6847718=T5
6847719, 6847719;6847719;6847719;3960.480;;HARNESS: LH,TURBINE THERMOCOUP,;0;11.38;Aircraft Parts;, HARNESS;https://shop.boeing.com/aviation-supply/p/6847719=T5
6847720, 6847720;6847720;6847720;4785.560;;HARNESS: RH,TURBINE THERMOCOUP,;8;2.85;Aircraft Parts;, HARNESS;https://shop.boeing.com/aviation-supply/p/6847720=T5
6848143, 6848143;6848143;6848143;1157.590;;RING: COUPLING,SAFETY,ST, 3.055 IDX3.625OD X.2;17;0.18;Aircraft Parts;, RING;https://shop.boeing.com/aviation-supply/p/6848143=T5
6848158, 6848158;6848158;6848158;49.000;;KIT: FUEL FLT, 600 SERIES;17;0.24;Aircraft Parts;ENGINES, KIT;https://shop.boeing.com/aviation-supply/p/6848158=T5
6848194, 6848194, 6848194;6848194;6848194;1636.030;;CONNECTOR: OIL TUBE P/T S ASSE,;18;0.5;Aircraft Parts, Misc;ENGINES, CONNECTOR: OIL TUBE P/T S ASSE, CONNECTOR;https://shop.boeing.com/aviation-supply/p/6848194=64
6848471, 6848471, 6848471;6848471;6848471;226.590;;TUBE:,;48;0.5;Aircraft Parts, Misc;"ENGINES, TUBE:;, TUBE";https://shop.boeing.com/aviation-supply/p/6848471=64
6848574, 6848574;6848574;6848574;11.990;;NUT: HEX HD,SELF-LKG,ST,;5240;0.5;Aircraft Parts;, NUT;https://shop.boeing.com/aviation-supply/p/6848574=T5
6849342, 6849342, 6849342;6849342;6849342;0;Please send RFQ to sales@145.aero for lead time;NUT: SPANNER-REAR CARRIER BEAR,;0;1.85;Aircraft Parts;, NUT, ;https://www.boeingdistribution.com/product/NUT/6849342/6849342
6849446, 6849446;6849446;6849446;30.350;;PIN: FLT FIL HD,ST, .186 DIA;168;0.006;Aircraft Parts;, PIN;https://shop.boeing.com/aviation-supply/p/6849446=T5
6849497, 6849497;6849497;6849497;45.570;;WASHER: KEY,ST,;629;0.014;Aircraft Parts;, WASHER;https://shop.boeing.com/aviation-supply/p/6849497=T5
6849498, 6849498, 6849498;6849498;6849498;55.130;;WASHER: KEY,ST,;0;0.02;Aircraft Parts, WASHER;, WASHER, WASHER;https://shop.boeing.com/aviation-supply/p/6849498=T5
6849499, 6849499;6849499;6849499;60.900;;WASHER: KEY,ST,;365;0.017;Aircraft Parts;, WASHER;https://shop.boeing.com/aviation-supply/p/6849499=T5
6849500, 6849500;6849500;6849500;39.690;;RING: RETAINING,ST, 1.875 DIA LOCK;326;0.005;Aircraft Parts;, RING;https://shop.boeing.com/aviation-supply/p/6849500=T5
6849545, 6849545;6849545;6849545;95.920;;PIN: STR HD,ST,;178;0.01;Aircraft Parts;, PIN;https://shop.boeing.com/aviation-supply/p/6849545=T5
6850314, 6850314, 6850314;6850314;6850314;42.510;;BOLT: 12PT HD,DRILLED,ST,;0;0.5;Aircraft Parts, Misc;", BOLT: 12PT HD;DRILLED;ST;, BOLT";https://www.airpartsco.com/airparts_homepage/lara_page.php?lara&result=6850314&op=part&po=null&page=1
6850367, 6850367;6850367;6850367;328.650;;KEY: LKG REAR TURBINE,BR,;51;0.02;Aircraft Parts;, KEY;https://shop.boeing.com/aviation-supply/p/6850367=T5
6850734, 6850734, 6850734;6850734;6850734;10.640;;RING: RETAINING,EXT,ST,;0;0.5;Aircraft Parts, Misc;", RING: RETAINING;EXT;ST;, RING, RETAINING-G TYPE EX,";https://shop.boeing.com/aviation-supply/p/6850734=MO
6850819, 6850819;6850819;6850819;20067.990;;Rolls-Royce® Oil Pump Assembly Body 685081;0;0.5;Aircraft Parts;, BODY;https://shop.boeing.com/aviation-supply/p/6850819=T5
6850824, 6850824;6850824;6850824;5796.000;;GEAR: SPUR-OIL PUMP IDLER,;3;0.25;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6850824=T5
6850825, 6850825;6850825;6850825;4599.000;;GEAR: SPUR-OIL PUMP DRIVE,;0;0.53;Aircraft Parts;, GEAR;https://shop.boeing.com/aviation-supply/p/6850825=T5
6850826, 6850826;6850826;6850826;415.800;;SHAFT: IDLER GEAR-OIL PUMP,;17;0.11;Aircraft Parts;ENGINES, SHAFT;https://shop.boeing.com/aviation-supply/p/6850826=T5
